id,is_premium,title,topic_tags,difficulty,similar_questions,problem_URL
23,False,23. Merge k Sorted Lists,"'Linked List', 'Divide and Conquer', 'Heap (Priority Queue)', 'Merge Sort'",Hard,"[""'Merge Two Sorted Lists'"", ""'Ugly Number II'"", ""'Smallest Subarrays With Maximum Bitwise OR'""]",https://leetcode.com/problems/merge-k-sorted-lists
24,False,24. Swap Nodes in Pairs,"'Linked List', 'Recursion'",Medium,"[""'Reverse Nodes in k-Group'"", ""'Swapping Nodes in a Linked List'""]",https://leetcode.com/problems/swap-nodes-in-pairs
25,False,25. Reverse Nodes in k-Group,"'Linked List', 'Recursion'",Hard,"[""'Swap Nodes in Pairs'"", ""'Swapping Nodes in a Linked List'"", ""'Reverse Nodes in Even Length Groups'""]",https://leetcode.com/problems/reverse-nodes-in-k-group
26,False,26. Remove Duplicates from Sorted Array,"'Array', 'Two Pointers'",Easy,"[""'Remove Element'"", ""'Remove Duplicates from Sorted Array II'"", ""'Apply Operations to an Array'"", ""'Sum of Distances'""]",https://leetcode.com/problems/remove-duplicates-from-sorted-array
27,False,27. Remove Element,"'Array', 'Two Pointers'",Easy,"[""'Remove Duplicates from Sorted Array'"", ""'Remove Linked List Elements'"", ""'Move Zeroes'""]",https://leetcode.com/problems/remove-element
28,False,28. Find the Index of the First Occurrence in a String,"'Two Pointers', 'String', 'String Matching'",Easy,"[""'Shortest Palindrome'"", ""'Repeated Substring Pattern'""]",https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string
29,False,29. Divide Two Integers,"'Math', 'Bit Manipulation'",Medium,[''],https://leetcode.com/problems/divide-two-integers
30,False,30. Substring with Concatenation of All Words,"'Hash Table', 'String', 'Sliding Window'",Hard,"[""'Minimum Window Substring'""]",https://leetcode.com/problems/substring-with-concatenation-of-all-words
31,False,31. Next Permutation,"'Array', 'Two Pointers'",Medium,"[""'Permutations'"", ""'Permutations II'"", ""'Permutation Sequence'"", ""'Palindrome Permutation II'"", ""'Minimum Adjacent Swaps to Reach the Kth Smallest Number'""]",https://leetcode.com/problems/next-permutation
32,False,32. Longest Valid Parentheses,"'String', 'Dynamic Programming', 'Stack'",Hard,"[""'Valid Parentheses'""]",https://leetcode.com/problems/longest-valid-parentheses
33,False,33. Search in Rotated Sorted Array,"'Array', 'Binary Search'",Medium,"[""'Search in Rotated Sorted Array II'"", ""'Find Minimum in Rotated Sorted Array'"", ""'Pour Water Between Buckets to Make Water Levels Equal'""]",https://leetcode.com/problems/search-in-rotated-sorted-array
34,False,34. Find First and Last Position of Element in Sorted Array,"'Array', 'Binary Search'",Medium,"[""'First Bad Version'"", ""'Plates Between Candles'"", ""'Find Target Indices After Sorting Array'""]",https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
35,False,35. Search Insert Position,"'Array', 'Binary Search'",Easy,"[""'First Bad Version'""]",https://leetcode.com/problems/search-insert-position
36,False,36. Valid Sudoku,"'Array', 'Hash Table', 'Matrix'",Medium,"[""'Sudoku Solver'"", ""'Check if Every Row and Column Contains All Numbers'""]",https://leetcode.com/problems/valid-sudoku
37,False,37. Sudoku Solver,"'Array', 'Hash Table', 'Backtracking', 'Matrix'",Hard,"[""'Valid Sudoku'"", ""'Unique Paths III'""]",https://leetcode.com/problems/sudoku-solver
38,False,38. Count and Say,'String',Medium,"[""'Encode and Decode Strings'"", ""'String Compression'""]",https://leetcode.com/problems/count-and-say
39,False,39. Combination Sum,"'Array', 'Backtracking'",Medium,"[""'Letter Combinations of a Phone Number'"", ""'Combination Sum II'"", ""'Combinations'"", ""'Combination Sum III'"", ""'Factor Combinations'"", ""'Combination Sum IV'""]",https://leetcode.com/problems/combination-sum
40,False,40. Combination Sum II,"'Array', 'Backtracking'",Medium,"[""'Combination Sum'""]",https://leetcode.com/problems/combination-sum-ii
41,False,41. First Missing Positive,"'Array', 'Hash Table'",Hard,"[""'Missing Number'"", ""'Find the Duplicate Number'"", ""'Find All Numbers Disappeared in an Array'"", ""'Couples Holding Hands'"", ""'Smallest Number in Infinite Set'"", ""'Maximum Number of Integers to Choose From a Range I'"", ""'Smallest Missing Non-negative Integer After Operations'"", ""'Maximum Number of Integers to Choose From a Range II'""]",https://leetcode.com/problems/first-missing-positive
42,False,42. Trapping Rain Water,"'Array', 'Two Pointers', 'Dynamic Programming', 'Stack', 'Monotonic Stack'",Hard,"[""'Container With Most Water'"", ""'Product of Array Except Self'"", ""'Trapping Rain Water II'"", ""'Pour Water'"", ""'Maximum Value of an Ordered Triplet II'""]",https://leetcode.com/problems/trapping-rain-water
43,False,43. Multiply Strings,"'Math', 'String', 'Simulation'",Medium,"[""'Add Two Numbers'"", ""'Plus One'"", ""'Add Binary'"", ""'Add Strings'"", ""'Apply Discount to Prices'""]",https://leetcode.com/problems/multiply-strings
44,False,44. Wildcard Matching,"'String', 'Dynamic Programming', 'Greedy', 'Recursion'",Hard,"[""'Regular Expression Matching'""]",https://leetcode.com/problems/wildcard-matching
